kartez,family,genus,sp_epithet,subspecies_variety,common_name,Native,PhotoPath,LifeHistory,FunctionalGroup
HYFLF,Asteraceae,Hymenopappus,flavescens,var. flavescens,collegeflower,y,NA,a,f
HYMO,Asteraceae,Hymenoclea,monogyra,,singlewhorl burrobush,y,C3,p,s
HYOD,Asteraceae,Hymenoxys,odorata,,bitter rubberweed,y,C3,a,f
HYRIF,Asteraceae,Hymenoxys,richardsonii,var. floribunda,Colorado rubberweed,y,C3,p,f
HYVE,Violaceae,Hybanthus,verticillatus,,babyslippers,y,C3,p,f
HYVE2,Apiaceae,Hydrocotyle,verticillata,,whorled marshpennywort,y,C3,p,f
IPCO2,Convolvulaceae,Ipomoea,costellata,,crestrib morning-glory,y,C3,a,f
IPCR,Convolvulaceae,Ipomoea,cristulata,,Trans-Pecos morning-glory,y,C3,a,f
IPLA2,Polemoniaceae,Ipomopsis,laxiflora,,iron ipomopsis,y,C3,a,f
IPLO2,Polemoniaceae,Ipomopsis,longiflora,,flaxflower ipomopsis,y,C3,a,f
IPMU3,Polemoniaceae,Ipomopsis,multiflora,,manyflowered ipomopsis,y,C3,p,f
IPPU4,Polemoniaceae,Ipomopsis,pumila,,dwarf ipomopsis,y,C3,a,f
ISPL,Asteraceae,Isocoma,pluriflora,,southern goldenbush,y,C3,p,f
JUME4,Juncaceae,Juncus,mexicanus,,Mexican rush,y,C3,p,g
JUMO,Cupressaceae,Juniperus,monosperma,,oneseed juniper,y,C3,p,s
JUTO,Juncaceae,Juncus,torreyi,,Torrey's rush,y,C3,p,g
KAHI,Zygophyllaceae,Kallstroemia,hirsutissima,,NA,y,C4,a,f
KAPA,Zygophyllaceae,Kallstroemia,parviflora,,warty caltrop,y,C4,a,f
KOMA,Poaceae,Koeleria,macrantha,,prairie Junegrass,y,C3,p,g
KRLA,Krameriaceae,Krameria,lanceolata,,trailing krameria,y,C3,p,f
KRLA2,Chenopodiaceae,Krascheninnikovia,lanata,,winterfat,y,C3,p,s
LACO13,Asteraceae,Laennecia,coulteri,,Coulter's horseweed,y,C3,a,f
LAOC3,Boraginaceae,Lappula,occidentalis,,flatspine stickseed,y,NA,p,f
LAOCC,Boraginaceae,Lappula,occidentalis,var. cupulata,flatspine stickseed,y,C3,a,f
LAOCO,Boraginaceae,Lappula,occidentalis,var. occidentalis,flatspine stickseed,y,C3,a,f
LASE,Asteraceae,Lactuca,serriola,,prickly lettuce,n,C3,a,f
LATR2,Zygophyllaceae,Larrea,tridentata,,creosote bush,y,C3,p,s
LEAL4,Brassicaceae,Lepidium,alyssoides,,mesa pepperweed,y,C3,p,f
LEALA4,Brassicaceae,Lepidium,alyssoides,var. angustifolium,mesa pepperweed,y,C3,p,f
LEDE,Brassicaceae,Lepidium,densiflorum,,common pepperweed,y,C3,a,f
LEDE23,Asteraceae,Leuciva,dealbata,,woolly marsh elder,y,NA,p,f
LEDED,Brassicaceae,Lepidium,densiflorum,,common pepperweed,y,C4,a,f
LEDU,Poaceae,Leptochloa,dubia,,mucronate sprangletop,y,C4,p,g
LEFE,Brassicaceae,Lesquerella,fendleri,,Fendler's bladderpod,y,C3,p,f
LEFUF,Poaceae,Leptochloa,fusca,subsp. fascicularis,bearded sprangletop,y,NA,a,g
LEGO,Brassicaceae,Lesquerella,gordonii,,Gordon's bladderpod,y,C3,p,f
LEGOG,Brassicaceae,Lesquerella,gordonii,var. gordonii ,Gordon's bladderpod,y,C3,p,f
LELA,Brassicaceae,Lepidium,lasiocarpum,,shaggyfruit pepperweed,y,C3,a,f
LEMNA,Lemnaceae,Lemna,NA,,duckweed,NA,C3,a,f
LEMO2,Brassicaceae,Lepidium,montanum,,mountain pepperweed,y,C3,p,f
LEOV,Brassicaceae,Lesquerella,ovalifolia ,,roundleaf bladderpod ,y,C3,p,f
LEPI3,Brassicaceae,Lesquerella,pinetorum,,White Mountain bladderpod,Y,C3,p,f
LEVIM,Brassicaceae,Lepidium,virginicum,var. medium,intermediate pepperweed,y,C3,p,f
LIAR3,Linaceae,Linum,aristatum,,bristle flax,y,C3,a,f
LIAU4,Linaceae,Linum,australe,,southern flax,y,C3,a,f
LIAUA,Linaceae,Linum,australe,var. australe,southern flax,y,C3,a,f
LICO7,Boraginaceae,Lithospermum,cobrense,,smooththroat stoneseed,y,C3,p,f
LIIN2,Boraginaceae,Lithospermum,incisum,,narrowleaf stoneseed,y,C3,p,f
LILI4,Plumbaginaceae,Limonium,limbatum,,Trans-Pecos sea lavender,y,C3,p,f
LIMU3,Boraginaceae,Lithospermum,multiflorum,,manyflowered stoneseed,y,C3,p,f
LIPU4,Linaceae,Linum,puberulum,,plains flax,y,C3,a,f
LISC5,Linaceae,Linum,schiedeanum,,Schied's flax,y,C3,p,f
LOCA2,Campanulaceae,Lobelia,cardinalis,,cardinalflower,y,C3,p,f
LOGR4,Fabaceae,Lotus,greenei,,Greene's bird's-foot trefoil,y,C3,p,f
LOPL2,Fabaceae,Lotus,plebeius,,New Mexico bird's-foot trefoil,y,C3,p,f
LOWR,Fabaceae,Lotus,wrightii,,Wright's deervetch,y,C3,p,f
LUBR2,Fabaceae,Lupinus,brevicaulis,,shortstem lupine,y,C3,a,f
