CODE	CURRENT SCIENTIFIC NAME	AUTHORITY	Form
OPSP	Opuntia spinosior	(Engelm. & Bigel.) Toumey	
OPUN	Opuntia spp.		
OPVE	Opuntia versicolor	Engelm.	
PAHA	Panicum hallii	Vasey	grass
PAMU	Pappophorum mucronulatum	Nees	grass
PECI	Pennisetum ciliare	(L.) Link	grass
PENA	Perezia nana	Gray	
PHYS	Physalis spp.		
PORT	Portulaca spp.		
PRJU	Prosopis velutina	Woot.	
PRJUV	Prosopis velutina	Woot.	
QUEM	Quercus emoryi	Torr.	
RUME	Rumex spp.		
SELO	Senecio longilobus	Benth.	
SEMA	Setaria macrostachya	H.B.K.	grass
SIDA	Sida spp.		
SIHY	Sitanion hystrix	(Nutt.) J.G. Smith	grass
SOEL	Solanum elaeagnifolium	Cav.	
SPCO	Sporobolus contractus	Hitch.	grass
SPOR	Sporobolus spp.	R. Br.	grass
STEP	Stephanomeria spp.		
STIP	Stipa spp.	L.	grass
TALI	Talinum spp.		
TRCA1	Digitaria californica	(Benth.) Chase	grass
TRMU	Tridens muticus	(Torr.) Nash	grass
TRPU	Erioneuron pulchellum	(H.B.K.) Tateoka	grass
VICI	Vicia spp.	L.	
VIGU	Viguiera spp.		
YUEL	Yucca elata	Engelm.	
ZIOB	Zizyphus obtusifolia	(Hooker) Gray	
ZIPU	Zinnia pumila	A. Gray	
