"year","mean_grass"
1953,0.575
1954,0.7875
1955,0.425
1956,0.8375
1957,1.2375
1958,1.975
1959,2.1625
1961,2.1625
1962,2.1125
1963,1.8
1964,1.5875
1965,2.6625
1966,2.2
1970,1.075
1984,3.05
1991,8.1375
1994,3.55
1997,2.975
2000,3.4125
2003,0.8625
2006,1.1625
2009,2.35
2012,1.775
2015,3.025
2018,2
2021,3.9125
