water_yr,pdo,nino34,pdsi,spei,yearly_ppt_mm,summer_ppt_mm,summer_pdsi,summer_spei,summer_tmax,summer_tmin,winter_ppt_mm,winter_pdsi,winter_spei,winter_tmax,winter_tmin,pdo_phase,enso_phase
1933,-0.630833333,-0.378333333,2.118333333,0.137999014,267.21,188.48,2.846,0.214814419,32.8483871,13.89096774,78.73,1.598571429,0.083130867,17.6042133,-1.342231731,warm,Neutral
1934,0.5875,-0.72,-1.974166667,-0.993083868,113.52,78.73,-1.78,-1.064034811,34.16193548,15.11849462,34.79,-2.112857143,-0.942404623,21.45633092,-1.339247312,warm,LaNina
1935,1.071666667,-0.264166667,-2.488333333,-0.158770335,270.73,218.43,-0.796,0.533714066,31.09096774,14.97784946,52.3,-3.697142857,-0.65340205,19.73169849,0.506067588,warm,Neutral
1936,1.405,0.071666667,0.24,-0.137149915,241.29,162.3,1.054,-0.132954281,31.70322581,14.99096774,78.99,-0.341428571,-0.140146796,18.94860957,-0.136516765,warm,Neutral
1937,0.7325,0.064166667,1.301666667,0.22079087,229.9,150.4,2.016,0.045519329,32.39247312,14.23462366,79.5,0.791428571,0.345984827,16.7888962,-0.695589203,warm,Neutral
1938,0.086666667,-0.241666667,0.2325,0.049787405,319,252.73,1.83,0.468258747,30.97483871,13.87591398,66.27,-0.908571429,-0.249120697,18.61262892,0.699111257,warm,Neutral
1939,0.284166667,-0.371666667,1.009166667,-0.00518022,196.33,112,0.832,-0.404041951,32.87121588,13.68989247,84.33,1.135714286,0.279721017,18.53969717,-2.288358569,warm,LaNina
1940,1.393333333,0.529166667,0.444166667,0.376786171,282.18,180.32,1.508,0.327808435,32.17462366,14.44193548,101.86,-0.315714286,0.411770268,18.91255893,-1.572175433,warm,Neutral
1941,2.1025,1.025,3.528333333,0.941239653,430.53,250.72,6.808,0.852287312,30.67340007,14.48537634,179.81,1.185714286,1.00477704,16.88191679,1.105957867,warm,ElNino
1942,0.723333333,0.174166667,5.206666667,0.214225971,251.73,126.24,4.246,-0.187546714,32.65655914,13.32748387,125.49,5.892857143,0.501206461,18.01758757,-0.176856371,warm,ElNino
1943,-0.001666667,-0.740833333,0.7775,-0.775738645,197.84,145.78,0.558,-0.503286871,33.37569892,15.01908788,52.06,0.934285714,-0.970347055,21.15842633,0.358163265,warm,LaNina
1944,-0.068333333,-0.1475,0.650833333,0.316545413,227.81,126.71,1.892,0.00787492,32.43591398,12.97139785,101.1,-0.235714286,0.537024337,18.43056836,-2.16477038,warm,Neutral
1945,0.035833333,-0.544166667,0.42,-0.219067209,153.15,55.12,-0.306,-0.834767246,33.21225806,13.47806452,98.03,0.938571429,0.220718531,19.08375027,-1.241134518,warm,Neutral
1946,-0.565,-0.355,-0.970833333,-0.122305344,276.86,202.18,-0.226,0.068375686,33.02580645,14.67612162,74.68,-1.502857143,-0.25850608,19.45962256,-1.64325214,warm,Neutral
1947,0.068333333,-0.165,-1.001666667,-0.244623787,183.89,111.75,-0.446,-0.598107953,33.48408602,14.04946237,72.14,-1.398571429,0.007864902,18.93319259,-1.109282423,cool,Neutral
1948,-0.35,0.016666667,-0.7925,-0.362796505,141.25,47.77,0.324,-1.257264242,34.05973118,14.44795699,93.48,-1.59,0.276109022,18.6247579,-1.907753957,cool,Neutral
1949,-1.300833333,-0.275833333,1.4925,0.276959463,286.49,157.47,3.272,-0.074074042,32.76877189,14.08889992,129.02,0.221428571,0.527697681,17.70258942,-0.502913101,cool,Neutral
1950,-1.681666667,-1.0625,-0.345833333,-0.459484115,203.45,150.87,-0.36,-0.077928867,32.73303671,13.32086022,52.58,-0.335714286,-0.732023578,20.36510862,-0.735088874,cool,LaNina
1951,-0.960833333,-0.335,-2.295,-0.651848362,118.87,35.57,-1.912,-1.311947798,34.61569892,13.72946237,83.3,-2.568571429,-0.180348766,20.42092385,-1.344239631,cool,LaNina
1952,-0.966666667,0.08,-2.4225,-0.255766403,205.47,128.5,-0.426,-0.419705732,33.88145347,14.19179829,76.97,-3.848571429,-0.138666882,18.64628953,0.133232692,cool,Neutral
1953,-0.158333333,0.195833333,-2.4025,-0.648750118,88.39,35.55,-1.552,-1.050062733,34.03486043,13.15702791,52.84,-3.01,-0.36209825,19.89687969,-1.554507035,cool,Neutral
1954,-0.44,-0.3,-3.635833333,-0.995927996,137.93,123.71,-2.388,-0.618011343,33.40940066,15.10114943,14.22,-4.527142857,-1.265868463,20.4135006,-0.653912662,cool,Neutral
1955,-1.1675,-1.005,-1.981666667,-0.093291877,202.71,111.01,-0.394,-0.088269301,32.38933874,12.11694316,91.7,-3.115714286,-0.096879431,19.35242165,-0.920420481,cool,LaNina
1956,-2.049166667,-1.085,-2.43,-0.535790205,123.94,74.16,-2.092,-0.720785235,34.31808676,11.02424917,49.78,-2.671428571,-0.403650898,20.18610096,-2.142263891,cool,LaNina
1957,-0.299166667,0.034166667,-3.064166667,-0.374149332,201.13,161.27,-1.208,-0.040480098,32.52470152,12.85835637,39.86,-4.39,-0.612484499,20.1636228,-0.558398977,cool,Neutral
1958,0.638333333,0.653333333,3.210833333,0.521876637,358.09,190.48,5.182,0.0019506,34.20493088,12.73744902,167.61,1.802857143,0.893252377,17.86244542,-1.34713249,cool,ElNino
1959,-0.11,0.018333333,1.7925,-0.161053563,261.35,201.4,0.352,0.026762989,33.51680586,11.54039409,59.95,2.821428571,-0.295208243,20.31125106,-3.274434935,cool,Neutral
1960,0.195833333,-0.064166667,-1.065833333,-0.238335591,129.56,88.65,-0.204,-0.352273457,34.34151852,10.87365385,40.91,-1.681428571,-0.156951401,19.58940887,-4.311904762,cool,Neutral
1961,-0.246666667,-0.125833333,0.099166667,0.373030686,334.49,247.37,1.068,0.651550325,33.09107225,12.00274094,87.12,-0.592857143,0.174088087,19.18075018,-3.646077743,cool,Neutral
1962,-1.486666667,-0.33,2.386666667,0.731713439,385.32,290.33,3.3,1.24625375,33.08562227,9.223160173,94.99,1.734285714,0.364184645,19.85603476,-3.067859112,cool,Neutral
1963,-0.619166667,0.036666667,0.835,0.452588816,177.04,96.52,0.024,0.390561109,32.65240169,9.075513534,80.52,1.414285714,0.49689432,20.40459787,-6.308279364,cool,Neutral
1964,-0.8525,-0.058333333,-1.280833333,0.126711121,227.84,184.42,-0.7,0.430210103,33.22344086,11.77188172,43.42,-1.695714286,-0.090073866,19.64281165,-4.081334135,cool,ElNino
1965,-0.464166667,-0.0475,-1.905,-0.374560366,129.02,85.08,-0.932,-0.594763257,33.2670258,13.52472377,43.94,-2.6,-0.217272586,19.80438818,-2.011235462,cool,LaNina
1966,-0.313333333,0.674166667,0.271666667,-0.285847124,205.73,124.45,2.578,-0.550560004,33.42719318,14.1790169,81.28,-1.375714286,-0.096766495,19.65441202,-1.44640606,cool,ElNino
1967,-0.863333333,-0.345833333,-0.868333333,-0.51960657,170.69,150.62,-0.078,0.114077727,32.3616232,13.96304042,20.07,-1.432857143,-0.97223821,20.66129373,-1.475982006,cool,Neutral
1968,-0.323333333,-0.266666667,1.875833333,0.304434271,255.52,134.11,3.522,-0.020246782,32.71790736,12.23968968,121.41,0.7,0.536349309,18.63927115,-0.237353673,cool,Neutral
1969,-0.49,0.536666667,0.861666667,-0.132070729,228.35,161.29,0.888,-0.174276546,33.61870968,14.41964405,67.06,0.842857143,-0.101923716,19.65408277,-1.762261167,cool,ElNino
1970,0.086666667,0.036666667,-0.1525,-0.032861564,193.56,102.62,0.108,-0.414517827,32.81284002,13.10885521,90.94,-0.338571429,0.239750052,18.8312701,-1.578904582,cool,ElNino
1971,-1.275833333,-0.938333333,-2.099166667,-0.125847271,157.22,110.99,-1.638,-0.115668061,32.5450738,12.86891177,46.23,-2.428571429,-0.133118135,19.38702026,-2.645312546,cool,LaNina
1972,-1.229166667,0.079166667,-0.5475,0.261854436,323.61,224.54,1.11,0.689483568,31.63655172,13.68344828,99.07,-1.731428571,-0.043594944,19.65139102,-1.007679903,cool,LaNina
1973,-0.488333333,0.320833333,5.170833333,0.850118284,325.38,143.51,6.184,0.324214599,32.34774194,11.83784946,181.87,4.447142857,1.225763774,16.84666569,-1.410157755,cool,ElNino
1974,-0.640833333,-1.216666667,-0.503333333,-0.178114124,290.33,263.15,-0.17,0.299208007,32.19536522,13.08031146,27.18,-0.741428571,-0.519058503,20.7453149,-3.040103138,cool,LaNina
1975,-0.669166667,-0.878333333,4.195,0.62130795,312.96,165.37,3.916,0.437478193,32.01462366,11.94451613,147.59,4.394285714,0.752614919,17.57305245,-1.673897301,cool,LaNina
1976,-0.705,-0.665,1.171666667,0.18099341,259.83,197.1,1.322,0.617256208,32.24946237,12.12301075,62.73,1.064285714,-0.130622874,19.94058591,-1.87512618,cool,LaNina
1977,0.6975,0.449166667,0.659166667,0.153127839,201.4,111.22,0.636,-0.459298264,33.80580645,13.48580645,90.18,0.675714286,0.590575056,17.90541179,-3.503793796,warm,ElNino
