year,month,pdsi
2018,2,-0.68
2018,3,-1.36
2018,4,-2.12
2018,5,-2.64
2018,6,-2.2
2018,7,-1.05
2018,8,-1.98
2018,9,0
2018,10,1.67
2018,11,1.45
2018,12,1.91
2019,1,1.41
2019,2,0.83
2019,3,0.61
2019,4,0.6
2019,5,0.16
2019,6,1.53
2019,7,0.01
2019,8,-1.07
2019,9,0
2019,10,-1.07
2019,11,1.41
2019,12,1.52
2020,1,1.17
2020,2,2.01
2020,3,4.06
2020,4,4.3
2020,5,3.85
2020,6,3.42
2020,7,2.94
2020,8,0.77
2020,9,0
2020,10,-1.29
2020,11,-2.4
2020,12,-2.66
2021,1,-2.74
2021,2,-2.89
2021,3,-3.19
2021,4,-3.22
2021,5,-3.46
2021,6,-1.88
2021,7,-0.19
2021,8,NA
2021,9,NA
2021,10,NA
2021,11,NA
2021,12,NA
