year,month,pdsi
1923,2,-2.26
1923,3,-1.19
1923,4,-0.29
1923,5,-0.84
1923,6,-1.8
1923,7,-2.25
1923,8,-0.69
1923,9,6.32
1923,10,-0.99
1923,11,0.59
1923,12,1.93
1924,1,1.56
1924,2,1.25
1924,3,1.57
1924,4,1.68
1924,5,1.4
1924,6,0.28
1924,7,1.35
1924,8,-0.88
1924,9,5.56
1924,10,-2.44
1924,11,-2.81
1924,12,-2.84
1925,1,-2.88
1925,2,-3.26
1925,3,-3.73
1925,4,-3.9
1925,5,-3.4
1925,6,-3.32
1925,7,-2.74
1925,8,-1.95
1925,9,5.88
1925,10,-1.57
1925,11,-1.89
1925,12,-1.82
1926,1,-1.23
1926,2,-1.46
1926,3,1.39
1926,4,2.49
1926,5,3.32
1926,6,2.48
1926,7,3.25
1926,8,2.1
1926,9,9.44
1926,10,3.47
1926,11,2.64
1926,12,3.27
1927,1,2.45
1927,2,1.76
1927,3,1.48
1927,4,0.55
1927,5,-1.07
1927,6,-1.36
1927,7,-1.37
1927,8,-1.03
1927,9,8.34
1927,10,-0.9
1927,11,-1.69
1927,12,-1.37
1928,1,-1.69
1928,2,-0.47
1928,3,-0.73
1928,4,-0.89
1928,5,1.02
1928,6,-0.31
1928,7,-1.17
1928,8,0.4
1928,9,6.6
1928,10,0.71
1928,11,1.17
1928,12,0.51
1929,1,-0.69
1929,2,-0.99
1929,3,-0.96
1929,4,-1.4
1929,5,0.39
1929,6,-0.94
1929,7,0.89
1929,8,1.5
1929,9,7.98
1929,10,1.21
1929,11,1.38
1929,12,0.82
1930,1,0.09
1930,2,-1.09
1930,3,-1.27
1930,4,-1.5
1930,5,-1.55
1930,6,-1.68
1930,7,-1.23
1930,8,-1.2
1930,9,5.97
1930,10,-2.22
1930,11,-1.58
1930,12,-1.36
1931,1,-0.34
1931,2,2.24
1931,3,2.43
1931,4,4.25
1931,5,4.35
1931,6,3.77
1931,7,3.34
1931,8,4.24
1931,9,9.59
1931,10,2.99
1931,11,3.05
1931,12,3.32
1932,1,3.18
1932,2,3.19
1932,3,3.28
1932,4,2.76
1932,5,2.62
1932,6,2.02
1932,7,1.95
1932,8,1.74
1932,9,8.53
1932,10,2.07
1932,11,1.22
1932,12,1.71
