"year","smoothed_pdo","smoothed_nino","smoothed_pdsi","smoothed_spei","smoothed_temp","smoothed_yearlyppt","smoothed_summerppt","smoothed_winterppt"
1901,0.338976532015468,-0.0809929372331221,0.678505900306307,0.0503378678036996,14.687868062208,245.593050127635,157.537136958929,83.1389271668288
1902,0.301144445466688,-0.0810228597844118,0.67490404540552,0.0510477232956419,14.6819031855755,244.900473329149,157.081647192112,83.2031637358503
1903,0.263463178893571,-0.0810525661966047,0.671302191476956,0.0517596533992093,14.6759422799722,244.209354474539,156.626705965658,83.2674003033806
1904,0.226171570593863,-0.08108171797465,0.667700340240663,0.0524768223928958,14.6699921000279,243.521973331362,156.173175668868,83.3316368673659
1905,0.189597995826059,-0.0811098571966852,0.66409849436492,0.0532034151619115,14.6640626804555,242.841409106789,155.722227056436,83.3958734255674
1906,0.154141727565703,-0.0811364389892375,0.660496657528635,0.0539443291657896,14.6581672431465,242.171318596794,155.275256738836,83.460109976186
1907,0.120255804475487,-0.0811608615803127,0.656894834478119,0.0547049110227757,14.6523220750629,241.515728255201,154.833808659587,83.5243465184812
1908,0.0884309499432909,-0.0811824936801901,0.653293031072627,0.0554907120493035,14.6465463676671,240.878839346422,154.399500196326,83.5885830533505
1909,0.0591801008647627,-0.0812006989287007,0.649691254313114,0.0563072378847444,14.6408620088599,240.264845544402,153.973953592727,83.6528195838397
1910,0.0330231565380221,-0.0812148571581839,0.64608951234912,0.0571596702576577,14.6352933195062,239.677762632498,153.558733459788,83.7170561155518
1911,0.0104716482014883,-0.0812243822497011,0.642487814459669,0.0580525440034502,14.6298667285395,239.121270358034,153.155291083156,83.7812926569303
1912,-0.00798685586336762,-0.0812287364048692,0.638886171005298,0.0589893688995351,14.6246103831478,238.59856693906,152.764916236763,83.8455292193966
1913,-0.0219046601255724,-0.0812274407134961,0.635284593349864,0.0599721934690314,14.6195536935414,238.112237197311,152.388697136229,83.9097658173295
1914,-0.0308900720780116,-0.0812200819652985,0.631683093752437,0.0610011160722976,14.6147268150892,237.664135760564,152.027489070213,83.9740024678831
1915,-0.0346235165374126,-0.0812063157299116,0.62808168523129,0.0620737566697063,14.6101600739951,237.255287185438,151.68189212527,84.0382391906484
1916,-0.0328732611041356,-0.0811858658091945,0.624480381403703,0.063184710374932,14.6058833460367,236.885805193802,151.352238275827,84.1024760071727
1917,-0.0255102675662775,-0.0811585202478364,0.620879196306764,0.064325010406079,14.6019254009575,236.554833413889,151.038587944864,84.1667129403573
1918,-0.0125215926764912,-0.0811241241679633,0.617278144205709,0.0654816333339591,14.5983132278272,236.260510095465,150.740735961687,84.230950013766
1919,0.00597828997349763,-0.0810825697697133,0.613677239397284,0.0666370827139413,14.5950713588229,235.999959147946,150.458226649764,84.2951872508758
1920,0.0297388942244116,-0.0810337839082774,0.610076496016261,0.0677690885207568,14.5922212104195,235.769309574434,150.190377580226,84.3594246743117
1921,0.0583684722606345,-0.0809777137177164,0.606475927853465,0.0688504586618796,14.589780461745,235.56374489113,149.93631132594,84.4236623051056
1922,0.0913326681411005,-0.0809143107996325,0.602875548193464,0.0698491155582719,14.5877624898741,235.377583478214,149.694994356581,84.4879001620198
1923,0.127957522870471,-0.0808435145296435,0.599275369679459,0.070728345135584,14.5861758810259,235.204389991317,149.465282029849,84.5521382609759
1924,0.1674371391893,-0.0807652350544951,0.595675404211882,0.0714472779794221,14.5850240350716,235.037117022868,149.245968466039,84.6163766146227
1925,0.208846142876016,-0.0806793365570359,0.592075662885855,0.0719616130504819,14.5843048784554,234.868275161939,149.035839947072,84.6806152320723
1926,0.251156884926716,-0.0805856213544422,0.588476155970962,0.0722245837167507,14.5840106977023,234.690128512034,148.833730363397,84.7448541188262
1927,0.293261123807342,-0.0804838153671572,0.584876892934912,0.0721881543873559,14.5841281022247,234.494911633421,148.638577147312,84.8090932769042
1928,0.333995720719434,-0.0803735554523196,0.581277882510633,0.0718044243375447,14.5846381212956,234.275062839749,148.449476084527,84.873332705179
1929,0.372171681067609,-0.08025437903745,0.577679132804258,0.0710272038365041,14.5855164359589,234.023467836374,148.265733389142,84.9375723999089
1930,0.406605697321872,-0.0801257164186512,0.574080651439464,0.0698137172205646,14.5867337424925,233.733706914011,148.086913465164,85.001812355455
1931,0.436153196528964,-0.0799868860053237,0.570482445731756,0.0681263783965797,14.5882562399481,233.400298325827,147.91288085891,85.066052565153
1932,0.459741783216686,-0.0798370927020568,0.56688452288466,0.0659345771227602,14.5900462304658,233.018930140662,147.743835032782,85.1302930223102
1933,0.476403899030372,-0.0796754295211146,0.563286890198498,0.063216409565162,14.5920628176133,232.586672793627,147.580336758751,85.1945337212829
1934,0.485307501578933,-0.0795008824183671,0.559689555281517,0.0599602844944797,14.5942626850872,232.102164778175,147.423325137221,85.2587746585925
1935,0.485783596653289,-0.0793123382451464,0.556092526252641,0.0561663371499199,14.596600935824,231.565764434565,147.274124487754,85.3230158340276
1936,0.477349542763116,-0.0791085956111547,0.552495811925118,0.0518475864313687,14.5990319699913,230.979661592797,147.134440627387,85.3872572516861
1937,0.459727181043154,-0.0788883783625871,0.548899421960803,0.0470307775606912,14.6015103795196,230.347943896982,147.006346341969,85.4514989209059
1938,0.432855021623112,-0.0786503512981344,0.545303366985709,0.0417568614559427,14.6039918367872,229.676613937332,146.892256157484,85.5157408570408
1939,0.396893934308078,-0.0783931376759939,0.541707658658812,0.0360810735495059,14.6064339558051,228.973554810533,146.794890823493,85.579983082041
