system:index,AFGC,BG,BUFF_DIST,LTR,NAME,OBJECTID,OBJECTID_1,ORIG_FID,PFGC,POINT_X,POINT_Y,SHR,Shape_Area,Shape_Leng,TREE
1991_00000000000000000003,0,43.45714286,10,9.847619048,A4,4,4,3,37.15238095,324892.94,3611829,4.847619048,314.1592654,62.83185307,1
1991_00000000000000000004,0.046728972,41.23364486,10,11.04672897,A5,5,5,4,39.85046729,324614.94,3612522.75,4.542056075,314.1592654,62.83185307,1.046728972
1991_00000000000000000005,0,55,10,16,AR4,6,6,5,20,327132.78,3609736.25,10,314.1592654,62.83185307,1
1991_00000000000000000006,1,52.36190476,10,15.63809524,AR5,7,7,6,23.63809524,327304.81,3609996.25,10,314.1592654,62.83185307,2
1991_00000000000000000007,1,52.45283019,10,15.54716981,AR6,8,8,7,23.54716981,327303.5,3610006.75,10,314.1592654,62.83185307,2
1991_00000000000000000008,1.361111111,28.89814815,10,9.314814815,B1,9,9,8,50.00925926,327171.69,3608487.5,4.046296296,314.1592654,62.83185307,1
1991_00000000000000000009,2.33,30.09,10,9,B2,10,10,9,47.45,327724.44,3607974.75,4.39,314.1592654,62.83185307,0.61
1991_0000000000000000000a,2.950980392,24.2254902,10,7.656862745,B3,11,11,10,55.60784314,328293.22,3607462.75,3.215686275,314.1592654,62.83185307,1
1991_0000000000000000000b,3,27.53465347,10,7.811881188,B4,12,12,11,53.92079208,328874.13,3606967.25,3,314.1592654,62.83185307,1
1991_0000000000000000000c,5.345794393,35.95327103,10,8.654205607,B5,13,13,12,43.62616822,329448.84,3606450,3.981308411,314.1592654,62.83185307,1.130841121
1991_0000000000000000000d,2.875,47.125,10,16.29807692,AR1,14,14,13,17.91346154,327197.75,3615735,11.54807692,314.1592654,62.83185307,2.913461538
1991_0000000000000000000e,3,50.2952381,10,14.39047619,AR2,15,15,14,18.43809524,327372.94,3615637.25,12.01904762,314.1592654,62.83185307,1.476190476
1991_0000000000000000000f,0.037735849,54.45283019,10,14.67924528,AR3,16,16,15,14.54716981,327532.56,3615636.25,10.66037736,314.1592654,62.83185307,3.962264151
1991_00000000000000000010,0.12962963,26.32407407,10,7.5,B2A,17,17,16,57.67592593,327382.59,3607655,4,314.1592654,62.83185307,0
1991_00000000000000000011,6,37,10,13,G1,18,18,17,34,336026,3610606.5,6,314.1592654,62.83185307,1
1991_00000000000000000012,3,35.46666667,10,11,G2,19,19,18,37.94285714,335366,3611003.5,6,314.1592654,62.83185307,2
1991_00000000000000000013,4.104761905,52.79047619,10,13.44761905,G3,20,20,19,24.65714286,334765.34,3611493.5,6.447619048,314.1592654,62.83185307,1.447619048
1991_00000000000000000014,0.126213592,56.62135922,10,14.12621359,G4,21,21,20,23,334101.44,3612017.75,8,314.1592654,62.83185307,1
1991_00000000000000000015,0.490384615,60.03846154,10,14.49038462,G5,22,22,21,13.50961538,333466.06,3612496,10.01923077,314.1592654,62.83185307,2.980769231
1991_00000000000000000016,3.240740741,46.68518519,10,11.22222222,G6,23,23,22,32.82407407,334698.59,3611540.5,5,314.1592654,62.83185307,2
1991_00000000000000000017,2.068627451,39.47058824,10,9.107843137,H1,24,24,23,43.39215686,331394.97,3604060.75,4.137254902,314.1592654,62.83185307,0.401960784
1991_00000000000000000018,3.203883495,38.93203883,10,10,H2,25,25,24,41.3592233,330748.53,3604424.25,4.970873786,314.1592654,62.83185307,0.815533981
1991_00000000000000000019,4,31,10,6,H3,26,26,25,51,330060.66,3604846,6,314.1592654,62.83185307,0
1991_0000000000000000001a,5,39.07692308,10,10,I1,27,27,26,30.92307692,336726.47,3609333,5.461538462,314.1592654,62.83185307,1
1991_0000000000000000001b,4.259615385,35.25961538,10,10,I2,28,28,27,37.70192308,336718.44,3608553.75,5.259615385,314.1592654,62.83185307,1
1991_0000000000000000001c,5.00952381,46.8952381,10,13.98095238,I4,29,29,28,26.11428571,336706.31,3607070,4.971428571,314.1592654,62.83185307,2
1991_0000000000000000001d,3,50.76190476,10,12,I5,30,30,29,25.38095238,335736.72,3607075.25,7.904761905,314.1592654,62.83185307,1
1991_0000000000000000001e,2.869158879,51.18691589,10,12.05607477,I6,31,31,30,27.34579439,334710.81,3607882,7.130841121,314.1592654,62.83185307,0.869158879
1991_0000000000000000001f,3,50.52830189,10,12.47169811,I7,32,32,31,24.26415094,334615.63,3607954.75,7.735849057,314.1592654,62.83185307,1
1991_00000000000000000020,2.058252427,36.94174757,10,9.970873786,J1,33,33,32,44.02912621,334722.88,3605398.5,4,314.1592654,62.83185307,1
1991_00000000000000000021,2,41,10,11,J12,34,34,33,38.05555556,334751.78,3605416,6.944444444,314.1592654,62.83185307,1
1991_00000000000000000022,6.676470588,29,10,9,J22,35,35,34,45.61764706,338148.06,3608209.75,3,314.1592654,62.83185307,1
1991_00000000000000000023,0,27.43809524,10,9.295238095,I3,36,36,35,43.48571429,336722.16,3607823.5,8.495238095,314.1592654,62.83185307,0.847619048
1991_00000000000000000024,3.105769231,26.89423077,10,12.89423077,J8,37,37,36,49,335993.91,3605139,4.105769231,314.1592654,62.83185307,1
1991_00000000000000000025,5.184466019,30.2815534,10,9.72815534,J9,38,38,37,41.34951456,338152.78,3608089.5,4,314.1592654,62.83185307,1
1991_00000000000000000026,8,15,10,7,K1,39,39,38,57,337143.5,3610971.5,5,314.1592654,62.83185307,0
1991_00000000000000000027,3,48.91428571,10,12.6,K3,40,40,39,28.35238095,337971.28,3612407,7.504761905,314.1592654,62.83185307,0.8
1991_00000000000000000028,1,57.00970874,10,14.24271845,K4,41,41,40,19.24271845,338352.69,3613102.5,8.504854369,314.1592654,62.83185307,1.747572816
1991_00000000000000000029,5,50,10,11,L1,42,42,41,23,337528.59,3609797.5,6,314.1592654,62.83185307,1
1991_0000000000000000002a,3,45.01904762,10,12,L2,43,43,42,32,338305.66,3609395.5,6.980952381,314.1592654,62.83185307,1
1991_0000000000000000002b,5,29,10,7,L3,44,44,43,46,339007.22,3608934.5,6,314.1592654,62.83185307,0
1991_0000000000000000002c,5,29.19444444,10,7.12962963,L3A,45,45,44,45.02777778,339007.25,3608933,6.194444444,314.1592654,62.83185307,0.064814815
1991_0000000000000000002d,3,18,10,3,L4,46,46,45,34,339762.38,3608544,15,314.1592654,62.83185307,1
1991_0000000000000000002e,2.673267327,45.84158416,10,8.663366337,L5,47,47,46,27.5049505,340537.59,3608156.5,5.99009901,314.1592654,62.83185307,1
1991_0000000000000000002f,0.2,24.05714286,10,5.2,M5,48,48,47,38.65714286,335475.59,3595839,9.180952381,314.1592654,62.83185307,1
1991_00000000000000000030,0,24.34285714,10,5,M6,49,49,48,40.77142857,335473.88,3595795.75,10.12380952,314.1592654,62.83185307,1.742857143
1991_00000000000000000031,1,25.05555556,10,10,MG1,50,50,49,40.94444444,336305.13,3615267.75,9,314.1592654,62.83185307,1
1991_00000000000000000032,0,19.37735849,10,8.622641509,MG2,51,51,50,49.75471698,335301.34,3615593,7.867924528,314.1592654,62.83185307,0
1991_00000000000000000033,0,19.99047619,10,6.019047619,MG3,52,52,51,47.03809524,334797.41,3615967.25,8,314.1592654,62.83185307,0
1991_00000000000000000034,0.228571429,23.77142857,10,7.771428571,MG4,53,53,52,55.42857143,335199.63,3616775,4.685714286,314.1592654,62.83185307,0
1991_00000000000000000035,0,26.70873786,10,8.902912621,MG5,54,54,53,49.48543689,335971.13,3616765,7.902912621,314.1592654,62.83185307,0
1991_00000000000000000036,0,22.21904762,10,8.304761905,MG6,55,55,54,49.25714286,335318.25,3615722.5,5.914285714,314.1592654,62.83185307,0
1991_00000000000000000037,2,36,10,8,MG7,56,56,55,26,335951.25,3616875,11,314.1592654,62.83185307,1
1991_00000000000000000038,3.922330097,38.31067961,10,11,N1,57,57,56,26.84466019,336268.63,3601864.75,7,314.1592654,62.83185307,1
1991_00000000000000000039,3.679245283,39,10,10,N3,58,58,57,40.67924528,337178.88,3604610.25,3,314.1592654,62.83185307,1
