models,AICc,rsquared,delta_AICc
arima.mean_10y,-376.33810891218326,0.7858087214683981,0
arima.NoPred,-363.6674701725325,0.7550230792652539,12.67063873965077
arima.enso_phase,-362.9021721624235,0.7602169771464666,13.435936749759776
arima.pc123,-362.02023088238224,0.7690979969850597,14.317878029801022
null,-282.81850361160645,0,93.51960530057681
