Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1950,-1.09,-1.04,-1.09,-1.3,-0.47,-0.87,1.61,-0.97,0.29,-1.05,-1.34,-1.89
1951,-0.35,0.29,0.54,0.88,-0.91,-0.49,-1.78,-0.74,-1.81,-0.4,-0.14,-0.22
1952,-1.56,0.56,1.36,0.98,0.02,0.32,-0.25,-0.8,-0.9,-1.34,0.33,-0.09
1953,-1.86,0.72,0.23,0.04,0.66,-0.81,-0.41,-1.18,-1.56,-0.34,-0.96,-0.17
1954,-0.87,-1.85,-0.1,-2.19,-0.03,-0.43,-1.32,0.65,-0.66,0.22,-1.24,-1.2
1955,1.08,-0.17,0.15,-0.57,0.08,-0.12,1.72,-0.38,-1.45,0.37,-0.98,-1.58
1956,-1.07,0.85,-0.84,0.18,-1.55,-1.18,-0.33,-0.34,-1.64,-1.3,-0.18,-0.37
1957,-0.52,-0.78,0.07,0.65,0.97,-0.77,-0.02,1.24,-0.34,1.5,0.92,-1.19
1958,0.9,1.02,2.5,0.85,-0.39,-0.51,-0.58,-0.15,1.92,1.35,-0.23,-1.5
1959,-1.09,-0.36,0.02,-0.42,-0.09,-0.76,-0.46,1.37,-1.48,-0.22,-0.23,-0.29
1960,1.33,0.34,-1.09,-0.79,-0.35,-0.61,0.86,-0.91,-0.95,0.57,-0.85,1.61
1961,0.83,-0.77,-0.13,-0.24,-1,0.51,-0.31,0.27,0.87,-0.71,1.98,0.53
1962,1.29,-0.68,0.72,-0.84,-0.53,0.07,1.71,-1.62,1.35,0.24,-0.83,0.91
1963,-0.12,-0.18,-0.46,-0.55,-1.28,-0.03,-1,0.8,-0.01,-0.34,-0.28,-0.87
1964,-0.18,0.49,1.19,0.68,-0.29,-0.17,-0.71,-0.35,0.7,-0.95,-0.75,-0.13
1965,-0.39,0.46,0.74,-0.36,0.07,0.96,-0.68,-0.06,0.9,-0.54,-1.52,1.08
1966,0.59,0.58,-0.28,0.26,-1.09,1.97,-0.81,0.8,0.2,-0.25,-1.02,-0.86
1967,-0.76,-0.27,-1.64,-0.86,0.44,1.4,-0.38,0.69,0.52,-0.81,0.14,1.06
1968,0.43,0.77,1.59,0.77,-0.39,-0.64,1.33,1.22,-0.19,-0.99,1.26,0.03
1969,-0.98,-0.25,0.72,-0.94,0.26,0.02,0.41,-0.9,0.01,0.51,-0.16,0.77
1970,-0.9,0.29,0.82,0.29,-0.41,0.22,0.23,-0.96,-0.52,1.06,-0.87,-0.91
1971,-0.79,-0.77,-1.06,0.45,-0.12,-0.45,-0.42,0.66,-0.41,1.29,0.15,0.61
1972,-0.52,-0.96,-2.66,-0.8,0.23,1.34,-0.19,1.73,0.64,1.62,0.84,0.21
1973,1.37,2.09,0.98,0.97,1.08,0.8,1.08,0.02,-1.37,-1.03,-1.03,-1.13
1974,0.19,-0.36,-1.46,-0.55,-1.24,-1.22,1.44,1.07,1.66,1.83,-0.04,0.68
1975,0.61,0.66,0.55,0.92,0.9,-0.2,0.84,-0.44,1.66,-0.34,0.06,0.02
1976,-0.26,-0.25,-0.46,0.33,1.4,0.36,0.78,-0.93,1.03,1.12,0.98,-0.42
1977,0.74,-0.57,1.07,0.31,0.11,-0.52,0.19,-0.21,-0.73,0.29,-0.89,-0.97
1978,0.29,0.96,-0.67,-0.98,0.93,-0.06,-1.55,0.5,1.16,0.9,2.08,0.74
1979,1.54,0.36,-0.14,0.23,1.44,0.96,-0.18,1.44,0.25,-1.68,-0.16,0.68
1980,0.37,0.95,0.31,1.06,1.23,-1.63,-2.04,-0.02,0.94,0.07,0.11,-1.22
1981,0.74,-0.68,0.62,-0.05,0.66,-0.27,-0.33,0.64,0.26,0.09,0.05,-1.57
1982,0.54,0.05,-0.86,-0.72,0.98,0.03,-0.7,-0.39,0.05,0.3,0.91,1.72
1983,1.09,0.72,0.42,2.08,0.77,0.68,-0.97,-0.45,-0.37,1.21,1.07,-0.6
1984,0.46,-0.55,0,-0.14,-0.63,1.03,-0.69,2.07,-0.7,2.04,0.74,1.91
1985,1.61,0.45,0.52,0.54,-0.55,-0.08,-0.19,0.65,0.94,2.03,-0.39,-0.79
1986,-1.47,-0.56,-0.34,-1.48,0.47,1.78,1.02,0.4,-0.06,0.81,2.09,1.77
1987,-0.03,0.3,0.68,0.41,0.51,1.57,-0.43,1.31,-0.01,-1.21,0.33,1.42
1988,-0.01,1.05,0.04,0.75,-0.37,0.2,0.73,1.59,0.35,-0.61,-0.76,0.41
1989,0.11,0.05,-0.66,-1.94,-0.88,-0.88,-0.09,0.96,-0.28,-0.36,-1.05,0.29
