Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1950,-0.35,-1.51,-2.16,-2.47,-2.76,-2.94,-0.8,-1.77,6.47,-1.82,-2.36,-2.96
1951,-2.98,-2.83,-2.72,-2.31,-2.63,-3.04,-3.78,-3.94,3.83,-4.46,-4.27,-4.07
1952,-4.33,-3.9,-3.29,-2.62,-2.4,-1.64,-1.82,-2.16,5.89,-3.28,-3,-2.92
1953,-3.44,-3.02,-2.79,-2.62,-2.79,-2.79,-2.74,-3.52,4.08,-4.28,-4.41,-4.27
1954,-4.32,-4.76,-4.77,-4.88,-4.3,-4.21,-4.77,-3.81,5.15,-3.07,-3.42,-3.72
1955,-2.97,-2.91,-2.76,-2.96,-2.97,-3.19,-0.48,-0.94,5.61,-1.85,-2.29,-2.82
1956,-3.09,-2.65,-2.95,-3.05,-3.39,-3.41,-3.55,-3.72,3.61,-4.74,-4.66,-4.53
1957,-4.37,-4.34,-4.24,-3.85,-3.52,-3.8,-3.27,-1.74,6.29,-0.18,1.25,0.53
1958,0.79,1.8,3.84,4.59,4.62,4.26,3.41,2.92,10.7,5.6,4.96,3.74
1959,2.74,2,0.73,-0.02,-0.66,-1.76,-2.49,-0.4,7.07,-1.95,-2.1,-2.19
1960,-1.38,-1.23,-1.28,-1.64,-1.98,-1.89,-0.9,-1.77,5.52,-1.86,-2.19,-0.62
1961,0.42,0.08,0.11,-0.09,-0.63,0,-0.64,-0.36,6.97,-0.57,1.72,1.91
1962,2.38,2.17,2.15,2.38,2,1.46,3.08,1.38,8.58,2.39,1.7,2
1963,1.61,1.36,0.79,0.05,-1.3,-1.71,-2.18,-1.41,6.72,-1.35,-1.45,-1.9
1964,-2.01,-1.95,-1.62,-1.59,-1.74,-2.19,-2.61,-2.74,5.78,-2.5,-2.77,-2.72
1965,-2.7,-2.49,-2.43,-2.59,-2.68,-2.42,-2.8,-2.74,5.98,-2.15,-2.55,-1.67
1966,-1.32,-1.12,-0.65,-0.17,-0.71,2.23,1.44,1.85,8.08,0.97,-0.28,-1.44
1967,-1.8,-2,-2.62,-2.86,-2.87,-1.73,-1.88,-1.11,7.2,-1.07,-0.97,-0.16
1968,0.29,1.35,2.53,2.93,2.3,1.43,2.47,3.15,8.26,1.35,2.03,1.69
1969,1.09,0.51,0.02,-0.79,-0.7,-1.2,-0.2,-0.85,7.39,-0.16,-0.56,0.16
1970,-0.57,-0.27,-0.23,-0.74,-1.17,-1.35,-0.95,-1.74,5.75,-1.41,-1.84,-2.16
1971,-2.44,-2.78,-3.25,-3.12,-3.33,-3.55,-3.49,-2.85,5.03,-1.78,-1.6,-1.05
1972,-1.14,-1.48,-2.41,-2.66,-2.63,-1.45,-1.52,2.32,8.83,3.93,3.95,3.63
1973,3.96,5.15,5.33,5.18,5.73,5.52,5.94,5.1,8.63,2.39,1.58,-0.15
1974,-0.47,-2.18,-3.1,-3.26,-3.4,-3.74,-2.03,-0.74,9.06,4.96,4.7,4.5
1975,4.3,4.17,4.3,3.83,3.41,2.5,2.71,1.9,9.06,2.68,2.29,1.91
1976,1.45,1.01,-0.89,-1,-0.09,-0.3,0.44,-1.12,7.68,1.06,1.35,0.71
1977,0.98,0.34,0.36,-0.07,-0.71,-1.13,-0.92,-0.87,6.81,-0.78,-1.23,-1.62
1978,-1.47,-0.99,-1.15,-1.56,-0.96,-0.49,-1.63,-1.11,-15.63,1.55,3.54,3.63
1979,4.17,3.94,3.76,3.83,4.45,4.55,4.04,4.89,0,3.08,2.38,2.37
1980,2.37,2.71,2.76,2.57,2.57,1.53,-1.47,-1.62,0,-0.48,-0.62,-1.4
1981,-0.93,-1.3,-1.36,-1.2,-0.79,-0.77,-0.86,-0.72,0,-0.78,-0.57,-1.35
1982,-1.07,-1.13,-1.66,-1.99,-1.76,-1.94,-2.31,-2.54,0,-2.02,-1.59,0.96
1983,2.01,2.22,2.63,3.33,3.59,3.22,2.06,1.03,0,0.86,1.77,1.13
1984,1.06,0.15,-0.5,-1.08,-0.79,0.16,-0.9,2.73,0,3.83,4.23,5.69
1985,6.17,5.74,5.92,6.69,6.83,6.03,5.12,5.37,0,7.49,6.94,5.78
1986,4.58,3.75,3.03,2.33,2.24,3.52,3.83,3.63,0,2.76,4.44,5.5
1987,4.92,4.56,4.49,4.49,4.67,5.6,4.54,5.55,0,3.38,3.02,3.59
1988,3.17,3.52,3.49,3.34,2.78,2.33,2.55,3.8,0,2.59,1.71,1.68
1989,1.47,1.33,0.68,-0.45,-0.94,-1.92,-1.79,-0.62,0,-1.56,-2.02,-1.72
1990,-1.61,-1.53,-1.31,-0.92,-1.01,-1.76,-0.33,1,0,2.26,2.26,1.96
1991,1.79,1.75,1.69,0.97,0.53,-0.34,1.29,2.54,0,2.2,2.03,4.85
1992,5.67,5.09,5.21,5.97,8.97,8.87,7.74,6.5,0,4.65,3.82,4.19
1993,5.27,4.85,4.56,4.21,3.8,3.12,2.96,3.64,0,1.88,1.62,1.39
1994,0.51,-0.39,-1.2,-1.42,-1.09,-1.84,-2.2,-2.88,0,-3.09,-1.81,-0.44
1995,0.25,0.45,0.29,0.07,-0.33,-0.74,-1.26,-1.92,0,-1.7,-2.24,-2.61
1996,-2.72,-3.37,-3.66,-3.32,-3.71,-2.56,-1.97,-2.16,0,-0.84,-1.18,-2.1
1997,-1.69,-1.29,-1.24,-1.27,-0.8,-0.21,-0.27,-1.05,0,-1.18,-0.99,0.98
1998,0.29,0.53,0.92,0.56,-0.27,-0.89,-0.08,-1.29,0,1.02,1.27,0.78
1999,-0.11,-1.68,-1.94,-2.14,-2.25,-1.14,0.46,1.52,0,0.86,-0.5,-0.73
2000,-1.87,-2.63,-2.65,-2.97,-3.41,2.13,1.42,0.57,0,-1.08,1.25,0.77
2001,0.89,0.67,0.6,0.14,-0.16,-0.66,-1.82,-2.33,0,-3.39,-3.41,-3.57
2002,-3.55,-2.69,-2.69,-3.07,-3.11,-3.37,-2.41,-2.96,0,-2.54,-2.67,-1.41
2003,-1.86,0.27,0.86,0.59,-0.11,0.21,-1.73,-2.62,0,-3.78,-3.32,-3.62
2004,-3.59,-3.63,-3.18,-0.74,-1.08,0.28,-0.27,0.89,0,1.41,3.04,2.81
2005,3.08,4.77,4.82,5.06,5.55,4.58,2.8,2.05,0,2.09,0.98,-0.61
2006,-1.99,-2.72,-3.3,-3.49,-3.6,-3.62,-3.33,2.93,0,6.59,5.73,4.81
2007,5.49,4.87,4.35,4.57,5.77,5.14,4.79,4,0,1.49,0.78,0.8
2008,0.12,-0.72,-2.01,-2.53,-2.86,-3.28,3.61,4.06,0,3.97,3.28,2.43
2009,1.2,-0.5,-1.95,-2.63,-1.85,-1.64,-1.24,-1.76,0,-1.35,-0.59,0.86
2010,2.23,2.84,3.01,3.33,3.14,2.86,3.97,3.68,0,2.16,1.13,-0.25
2011,-1.19,-1.67,-2.86,-3.2,-3.43,-3.67,-3.59,-3.89,0,-4.35,-4.01,-2.1
2012,-1.76,-1.71,-1.59,-1.54,-0.34,-1.03,-1.72,-2.8,0,-3.36,-3.71,-3.69
2013,-3.47,-3.42,-3.77,-3.89,-3.95,-4.13,-2.29,-2.01,0,0.91,0.55,0.13
2014,-0.81,-2.31,-2.63,-2.8,-2.98,-3.45,-3.26,-1.81,0,2.43,2.13,1.47
2015,2.36,1.88,1.63,1.62,2.06,1.63,3.49,2.33,0,2.29,2.47,2.59
2016,2.48,1.86,0.7,0.56,0.77,0.22,-1.93,-0.26,0,0.19,-0.18,0.29
2017,2.69,2.65,2.24,2.05,1.97,1.96,2.73,3.61,0,2.14,1.2,0.13
2018,-1.05,-0.68,-1.36,-2.12,-2.64,-2.2,-1.05,-1.98,0,1.67,1.45,1.91
2019,1.41,0.83,0.61,0.6,0.16,1.53,0.01,-1.07,0,-1.07,1.41,1.52
2020,1.17,2.01,4.06,4.3,3.85,3.42,2.94,0.77,0,-1.29,-2.4,-2.66
2021,-2.74,-2.89,-3.19,-3.22,-3.46,-1.88,-0.19,NA,NA,NA,NA,NA
